cano_smiles,FDA_APPROVED,CT_TOX,group
O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-],1,0,train
O=[N+]([O-])[O-],1,0,train
O=N,1,0,train
P(F)(=O)([O-])[O-],1,0,train
S(=O)(=O)([O-])[O-],1,0,train
S(=S)(=O)([O-])[O-],1,0,train
OB(O)[C@@H](NC(=O)[C@@H](NC(=O)c1nccnc1)Cc1ccccc1)CC(C)C,1,0,train
OB(O)[C@@H](NC(=O)[C@@H](NC(=O)c1nccnc1)Cc1ccccc1)CC(C)C,0,1,train
Clc1ccc(Cl)cc1C(=O)NCC(=O)N[C@@H](CC(C)C)B(O)O,0,1,train
O(C(=O)N)C1(CCCCC1)C#C,1,0,train
[NH2+](CC#C)[C@@H]1CCc2c1cccc2,1,0,train
N#C,1,0,train
O1[C@H]([C@@H](O)CO)C([O-])=C(O)C1=O,1,0,train
SC[C@H]([NH3+])C(=O)[O-],1,0,train
O1[C@](O)(CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1CO,1,0,train
F[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@@H]1O)CO,1,0,train
O1[C@](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)(CO)[C@@H](O)[C@H](O)[C@H]1CO,1,0,train
O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)C1=O,1,0,train
OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1,0,train
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1,0,train
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-],1,0,train
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,1,0,train
[NH2+]=C(N)N,1,0,train
BrC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,train
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1,0,train
ClC(Cl)(Cl)COP(=O)([O-])[O-],1,0,train
OCC([NH3+])(CO)CO,1,0,train
OC(CO)CO,1,0,train
O([N+](=O)[O-])C(CO[N+](=O)[O-])CO[N+](=O)[O-],1,0,train
SC(CO)CS,1,0,train
FC(F)(C(F)(F)F)C(F)(F)F,1,0,train
BrC(Cl)C(F)(F)F,1,0,train
ClC(OC(F)F)C(F)(F)F,1,0,train
FC(OC(F)F)C(F)(F)F,1,0,train
FC(F)=C(F)F,1,0,train
O=C([O-])C[NH3+],1,0,train
OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],1,0,train
ClC(F)C(F)(F)OC(F)F,1,0,train
O=C([O-])\C=C\C(=O)[O-],1,0,train
O=C([O-])[C@@H]([NH3+])CCC[NH+]=C(N)N,1,0,train
[NH2+](CCNCC[NH2+]CCN)CCN,1,0,train
S(P(=O)([O-])[O-])CC[NH2+]CCC[NH3+],1,0,train
FC(F)C([NH3+])(CCC[NH3+])C(=O)[O-],1,0,train
P(=O)([O-])([O-])C(P(=O)([O-])[O-])(O)CCC[NH3+],1,0,train
O=C([O-])CCC(=O)[O-],1,0,train
O=C(CCC(=O)[O-])C[NH3+],1,0,train
OCCCC(=O)[O-],1,0,train
O=C(N)CC[C@H]([NH3+])C(=O)[O-],1,0,train
S(SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],1,0,train
O=C([O-])CCCCC[NH3+],1,0,train
O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],1,0,train
[NH2+](CCNCC[NH3+])CCN,1,0,train
Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)CO)CCO)c(I)c1C(=O)NCC(O)CO,1,0,train
SCC[NH3+],1,0,train
O=C([O-])[O-],1,0,train
P(=O)([O-])([O-])C(=O)[O-],1,0,train
ClC=1C=CC2=N\C(=[NH+]/C)\CN([O-])C(=C2C=1)c1ccccc1,1,0,train
Oc1ccc(cc1)/C(/C(=C/C)/c1ccc(O)cc1)=C\C,1,0,train
S1[C@H]2N(C(C(=O)[O-])=C(C1)\C=C\C)C(=O)[C@H]2NC(=O)[C@H]([NH3+])c1ccc(O)cc1,1,0,train
