,smiles,FDA_APPROVED,CT_TOX,cano_smiles
1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,0,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
2,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O,1,0,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
3,[O-]c1c(/C=C/c2ccc(C(=[N+])N)cc2)ccc(C(=[N+])N)c1,1,0,[N+]=C(N)c1ccc(/C=C/c2ccc(C(=[N+])N)cc2[O-])cc1
4,O(CCCCCOc1ccc(C(=[N+])N)cc1)c1ccc(C(=[N+])N)cc1,1,0,[N+]=C(N)c1ccc(OCCCCCOc2ccc(C(=[N+])N)cc2)cc1
15,Clc1c(C(=O)NCC(=O)N[C@@H](CC(C)C)B(O)O)cc(Cl)cc1,0,1,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
16,O=C(OC1(C#C)CCCCC1)N,1,0,C#CC1(OC(N)=O)CCCCC1
17,N(CC#C)[C@H]1c2c(cccc2)CC1,1,0,C#CCN[C@@H]1CCc2ccccc21
18,O=C(O)[C@@H](NC(=O)c1ccc(C(CC#C)Cc2nc3c(N)nc(N)nc3nc2)cc1)CCC(=O)O,1,0,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
19,N#C,1,0,C#N
20,[Fe-2](N=O)(C#N)(C#N)(C#N)(C#N)C#N,1,0,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
21,O=C1[C@@H]([C@@H](O)CO)OC(=O)C1O,1,0,O=C1O[C@H]([C@@H](O)CO)C(=O)C1O
22,SC[C@H](N)C(=O)O,1,0,N[C@@H](CS)C(=O)O
23,O([C@H]1[C@H](O)[C@@](O)(CO)O[C@@H]1CO)[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O1,1,0,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
24,S(=O)(=O)(O[Al](O)O)OC[C@@H]1[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](O[C@@]2(COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)O2)O1,1,0,O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O
25,F[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,1,0,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O
26,O([C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@]1(CO)[C@@H](O)[C@H](O)[C@@H](CO)O1,1,0,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
27,O=C1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1,1,0,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
28,O=C[C@H](O)[C@@H](O)[C@H](O)CO,1,0,O=C[C@H](O)[C@@H](O)[C@H](O)CO
29,O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)CO,1,0,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
