,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,cano_smiles
0,Amigdalin,-0.97399998,1,457.43201,7,3,7,202.32001,-0.76999998,O(C(C#N)c1ccccc1)C1C(O)C(O)C(O)C(COC2C(O)C(O)C(O)C(CO)O2)O1,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1
1,Fenfuram,-2.885,1,201.22501,1,2,2,42.240002000000004,-3.3,O=C(Nc1ccccc1)c1c(C)occ1,Cc1occc1C(=O)Nc1ccccc1
2,citral,-2.5789999999999997,1,152.237,0,0,4,17.07,-2.0599998999999998,O=C/C=C(\CC/C=C(\C)/C)/C,CC(C)=CCC/C(C)=C\C=O
3,Picene,-6.617999999999999,2,278.35400000000004,0,5,0,0.0,-7.869999900000001,c12c3c(c4c(cc3)cccc4)ccc1c1c(cc2)cccc1,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21
4,Thiophene,-2.2320001,2,84.14299799999999,0,1,0,0.0,-1.33,s1cccc1,c1ccsc1
5,benzothiazole,-2.733,2,135.19099,0,2,0,12.89,-1.5,s1c2c(nc1)cccc2,c1ccc2scnc2c1
6,"2,2,4,6,6'-PCB",-6.545000099999999,1,326.43701,0,2,1,0.0,-7.320000200000001,Clc1c(-c2c(Cl)cccc2Cl)c(Cl)cc(Cl)c1,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
7,Estradiol,-4.138,1,272.388,2,4,0,40.459998999999996,-5.0300002,Oc1cc2c(cc1)C1C(C3C(C)(C(O)CC3)CC1)CC2,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
8,Dieldrin,-4.533,1,380.91299,0,5,0,12.53,-6.29,ClC1(Cl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1C2C2C3OC3C1C2,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
9,Rotenone,-5.2459998,1,394.423,0,5,3,63.220001,-4.420000099999999,O(C)c1c(OC)cc2c(OCC3Oc4c(C(=O)C23)ccc2OC(C(=C)C)Cc42)c1,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
10,2-pyrrolidone,0.243,1,85.106003,1,1,0,29.1,1.0700001000000001,O=C1NCCC1,O=C1CCCN1
11,2-Chloronapthalene,-4.0630002,1,162.619,0,2,0,0.0,-4.139999899999999,Clc1cc2c(cc1)cccc2,Clc1ccc2ccccc2c1
12,1-Pentene ,-2.01,1,70.135002,0,0,2,0.0,-2.6800001,C(=C)CCC,C=CCCC
13,Primidone,-1.8969999999999998,1,218.25599999999997,2,2,2,58.200001,-2.6400001,O=C1C(CC)(c2ccccc2)C(=O)NCN1,CCC1(c2ccccc2)C(=O)NCNC1=O
14,Tetradecane,-5.4499998,1,198.394,0,0,11,0.0,-7.96,C(CCCCCCC)CCCCCC,CCCCCCCCCCCCCC
15,2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,ClC(C)C,CC(C)Cl
16,2-Methylbutanol,-1.0270000000000001,1,88.150002,1,0,2,20.23,-0.47,OCC(CC)C,CCC(C)CO
17,Benzonitrile,-2.03,1,103.124,0,1,0,23.790001,-1.0,N#Cc1ccccc1,N#Cc1ccccc1
18,Diazinon,-3.9890001000000006,1,304.35199,0,1,7,53.470001,-3.6400001000000004,S=P(OCC)(OCC)Oc1nc(C(C)C)nc(C)c1,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
19,2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.9400001000000002,OC(CCCCCCCCC)C,CCCCCCCCCC(C)O
20,"2,2',3,4,6-PCB",-6.626999900000001,1,326.43701,0,2,1,0.0,-7.429999799999999,Clc1c(c(Cl)ccc1Cl)-c1c(Cl)cc(Cl)cc1,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1
21,Lenacil,-3.355,1,234.299,1,3,1,54.860001000000004,-4.5939999,O=C1N(C(=O)C2=C(N1)CCC2)C1CCCCC1,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
