,CMPD_CHEMBLID,exp,smiles,cano_smiles
0,CHEMBL596271,3.54,Clc1ccc(N2CCN(Cc3n(C)c4c(n3)cccc4)CC2)cc1,Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21
1,CHEMBL1951080,-1.1799998999999999,S(=O)(=O)(N1C(C)CCc2c1cccc2)c1c(OC)cc(OC)c(NC(=O)CSCC(=O)O)c1,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O
2,CHEMBL1771,3.6900001000000002,Clc1c([C@@H](C(=O)OC)N2Cc3c(scc3)CC2)cccc1,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
3,CHEMBL234951,3.3699999,Clc1sc2[nH]c(C(=O)NC3C(=O)N(C[C@@H](O)CO)c4c(cccc4)C3)cc2c1,O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1
4,CHEMBL565079,3.0999999,O=C(NCC#N)[C@@H](NC(=O)c1n(C)nc(C(C)(C)C)c1)Cc1cc(C)ccc1,Cc1cccc(C[C@H](NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1
5,CHEMBL317462,3.1400001,OC1(C#Cc2ccc(-c3ccccc3)cc2)C2CCN(C1)CC2,OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2
6,CHEMBL1951182,-0.72000003,S(=O)(=O)(NCc1c(N2CCCCC2)cccc1)c1c(OC)cc(OC)c(NC(=O)CCC(=O)O)c1,COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCCCC2)cc1NC(=O)CCC(=O)O
7,CHEMBL2030960,0.34,Clc1c(C(=O)N[C@H](C(=O)O)Cc2cc(C)c(OCCc3nc(NC)ccc3)cc2)c(Cl)ccc1,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1
8,CHEMBL13097,3.05,O(C)c1c2C(=O)C(c3ccc(OC)cc3)=COc2cc(OC)c1,COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1
9,CHEMBL1527751,2.25,Oc1ncnc2scc(-c3cscc3)c12,Oc1ncnc2scc(-c3ccsc3)c12
10,CHEMBL1940306,1.51,S(=O)(=O)(C)c1ccc(Oc2ccc(C#C[C@@]3(O)C4CCN(C3)CC4)cc2)cc1,CS(=O)(=O)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1
11,CHEMBL578201,2.6099999,Fc1cnc([C@@H](Nc2c(C#N)nc(C)c(Nc3n[nH]c(C)c3)n2)C)cc1,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1
12,CHEMBL276218,-0.079999998,O=C1NCCCCC1,O=C1CCCCCN1
13,CHEMBL2153181,1.95,S(CCC)c1c(C(=O)N2C(c3ccncc3)CCC2)cccn1,CCCSc1ncccc1C(=O)N1CCCC1c1ccncc1
14,CHEMBL1916276,1.34,S(=O)(=O)(Nc1n(-c2ccccc2)ncc1C(=O)NC1C(C)CCCC1)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCCCC3C)cnn2-c2ccccc2)cc1
15,CHEMBL93884,3.2,Oc1cc2sc(-c3ccc(N)cc3)nc2cc1,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1
16,CHEMBL2171986,1.6,O=C(NCC#N)[C@H]1[C@H](C(=O)N2CCN(c3ccc(OC)cc3)CC2)CCCC1,COc1ccc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N)CC2)cc1
17,CHEMBL190044,3.77,O=C(OCC(N(C)C)(CC)c1ccccc1)c1cc(OC)c(OC)c(OC)c1,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C
18,CHEMBL469790,3.1500001,Clc1ccc(-c2sc3C(=O)N(c4cc(OC)c(N5C[C@H](O)CC5)cc4)N=Nc3c2)cc1,COc1cc(-n2nnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CC[C@@H](O)C1
19,CHEMBL2165055,0.31999999,O(C)[C@@H]1[C@H](NCc2nc3NC(=O)COc3cc2)CCN(CCN2C(=O)C=Cc3c2cc(C#N)cc3)C1,CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1ccc2c(n1)NC(=O)CO2
20,CHEMBL322479,2.9200001,O(CCCCCC(NCCc1c2sc(O)nc2c(O)cc1)(C)C)CCc1ccccc1,CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2nc(O)sc12
